/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Not using distributed mode
### Hyper-parameters:
     output_dir: output_rerun2/ham_icfg_tta/exp10/exp10.1.2/2025091914254
     seed: 42
     device: cuda
     batch_size_tta: 16
     epochs: 10
     lr: 0.0001
### Creating test dataset
     test_txt_set: 19848    test_img_set: 19848
     test_txt_loader: 39    test_img_loader: 39
### Creating model
Training Model with ['sdm', 'id', 'mlm'] tasks
Resized position embedding from size:torch.Size([1, 197, 768]) to size: torch.Size([1, 193, 768]) with height:24 width: 8
     Total Params Sum:  190482206
### Zero-Shot Score: 
/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/home/user/yc57963/task/IRRA/tta.py:284: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()  # bf16
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 60.656 | 77.499 | 83.268 | 35.543 | 6.006 |
+-------+--------+--------+--------+--------+-------+
### TTA:
### Compute Cos Similarity Uncertainty
     preprocess_tta_coefficients  start
     sample selection ...
     number of sample after sample_selection: 19848
     uncertainty ...
     pos/neg sampling ...
      number of sample after pos/neg sampling: torch.Size([19848, 8])
     preprocess_tta_coefficients  end
### Creating TTA dataset
     tta_dataset: 19848
### Creating tta dataloader
### be careful: func create_loader returns a list length of 1
     tta_loader: 1240
### Configure adapted weights
     TTA Dropout Modules: 
 []
     TTA Require Gradient Params: 
 [('base_model.transformer.resblocks.1.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.bias', torch.Size([512])), ('base_model.ln_final.weight', torch.Size([512])), ('base_model.ln_final.bias', torch.Size([512]))]
     TTA Dropout Modules Number: 
 0
     TTA Require Gradient Params Sum: 
 21504
Using 5.0 times learning rate for random init module 
### Start Test Time Adaptation : num_epoch = 10
/home/user/yc57963/task/IRRA/tta.py:67: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=True):
     Epoch[0] Iteration[10/1240], entropy: 0.6244, uncertainty: 2.9311, uncertainty_coeffi: 0.0010, loss: 0.2127, lr: 9.55e-06
     Epoch[0] Iteration[20/1240], entropy: 0.4727, uncertainty: 1.7782, uncertainty_coeffi: 0.0010, loss: 0.2656, lr: 9.55e-06
     Epoch[0] Iteration[30/1240], entropy: 0.8136, uncertainty: 2.9993, uncertainty_coeffi: 0.0010, loss: 0.3211, lr: 9.55e-06
     Epoch[0] Iteration[40/1240], entropy: 0.8428, uncertainty: 2.9455, uncertainty_coeffi: 0.0010, loss: 0.3581, lr: 9.55e-06
     Epoch[0] Iteration[50/1240], entropy: 0.6114, uncertainty: 3.1201, uncertainty_coeffi: 0.0010, loss: 0.2014, lr: 9.55e-06
     Epoch[0] Iteration[60/1240], entropy: 0.6525, uncertainty: 2.5120, uncertainty_coeffi: 0.0010, loss: 0.3267, lr: 9.55e-06
     Epoch[0] Iteration[70/1240], entropy: 0.7184, uncertainty: 2.8522, uncertainty_coeffi: 0.0010, loss: 0.2999, lr: 9.55e-06
     Epoch[0] Iteration[80/1240], entropy: 0.6713, uncertainty: 3.1707, uncertainty_coeffi: 0.0010, loss: 0.3459, lr: 9.55e-06
     Epoch[0] Iteration[90/1240], entropy: 0.5038, uncertainty: 2.9789, uncertainty_coeffi: 0.0010, loss: 0.1777, lr: 9.55e-06
     Epoch[0] Iteration[100/1240], entropy: 0.7721, uncertainty: 2.7093, uncertainty_coeffi: 0.0010, loss: 0.4241, lr: 9.55e-06
     Epoch[0] Iteration[110/1240], entropy: 0.5092, uncertainty: 2.1032, uncertainty_coeffi: 0.0010, loss: 0.3163, lr: 9.55e-06
     Epoch[0] Iteration[120/1240], entropy: 0.4885, uncertainty: 2.6257, uncertainty_coeffi: 0.0010, loss: 0.2295, lr: 9.55e-06
     Epoch[0] Iteration[130/1240], entropy: 0.6313, uncertainty: 3.1759, uncertainty_coeffi: 0.0010, loss: 0.2388, lr: 9.55e-06
     Epoch[0] Iteration[140/1240], entropy: 0.6646, uncertainty: 3.5561, uncertainty_coeffi: 0.0010, loss: 0.2488, lr: 9.55e-06
     Epoch[0] Iteration[150/1240], entropy: 0.6099, uncertainty: 2.8810, uncertainty_coeffi: 0.0010, loss: 0.2689, lr: 9.55e-06
     Epoch[0] Iteration[160/1240], entropy: 0.5056, uncertainty: 2.4486, uncertainty_coeffi: 0.0010, loss: 0.2833, lr: 9.55e-06
     Epoch[0] Iteration[170/1240], entropy: 0.6218, uncertainty: 2.5308, uncertainty_coeffi: 0.0010, loss: 0.3271, lr: 9.55e-06
     Epoch[0] Iteration[180/1240], entropy: 0.3619, uncertainty: 2.5838, uncertainty_coeffi: 0.0010, loss: 0.1499, lr: 9.55e-06
     Epoch[0] Iteration[190/1240], entropy: 0.4417, uncertainty: 2.1181, uncertainty_coeffi: 0.0010, loss: 0.2706, lr: 9.55e-06
     Epoch[0] Iteration[200/1240], entropy: 0.4374, uncertainty: 2.7601, uncertainty_coeffi: 0.0010, loss: 0.1701, lr: 9.55e-06
     Epoch[0] Iteration[210/1240], entropy: 0.6219, uncertainty: 2.9575, uncertainty_coeffi: 0.0010, loss: 0.2713, lr: 9.55e-06
     Epoch[0] Iteration[220/1240], entropy: 0.4319, uncertainty: 3.7519, uncertainty_coeffi: 0.0010, loss: 0.1382, lr: 9.55e-06
     Epoch[0] Iteration[230/1240], entropy: 0.5066, uncertainty: 2.2800, uncertainty_coeffi: 0.0010, loss: 0.2329, lr: 9.55e-06
     Epoch[0] Iteration[240/1240], entropy: 0.5436, uncertainty: 2.6941, uncertainty_coeffi: 0.0010, loss: 0.2050, lr: 9.55e-06
     Epoch[0] Iteration[250/1240], entropy: 0.7056, uncertainty: 2.7904, uncertainty_coeffi: 0.0010, loss: 0.2736, lr: 9.55e-06
     Epoch[0] Iteration[260/1240], entropy: 0.7062, uncertainty: 3.2109, uncertainty_coeffi: 0.0010, loss: 0.2747, lr: 9.55e-06
     Epoch[0] Iteration[270/1240], entropy: 0.5354, uncertainty: 3.5389, uncertainty_coeffi: 0.0010, loss: 0.2321, lr: 9.55e-06
     Epoch[0] Iteration[280/1240], entropy: 0.5819, uncertainty: 2.3639, uncertainty_coeffi: 0.0010, loss: 0.3009, lr: 9.55e-06
     Epoch[0] Iteration[290/1240], entropy: 0.5078, uncertainty: 2.7759, uncertainty_coeffi: 0.0010, loss: 0.1761, lr: 9.55e-06
     Epoch[0] Iteration[300/1240], entropy: 0.4932, uncertainty: 2.1992, uncertainty_coeffi: 0.0010, loss: 0.2845, lr: 9.55e-06
     Epoch[0] Iteration[310/1240], entropy: 0.6430, uncertainty: 2.0829, uncertainty_coeffi: 0.0010, loss: 0.3282, lr: 9.55e-06
     Epoch[0] Iteration[320/1240], entropy: 0.4767, uncertainty: 2.8571, uncertainty_coeffi: 0.0010, loss: 0.2266, lr: 9.55e-06
     Epoch[0] Iteration[330/1240], entropy: 0.8603, uncertainty: 2.4391, uncertainty_coeffi: 0.0010, loss: 0.4838, lr: 9.55e-06
     Epoch[0] Iteration[340/1240], entropy: 0.4594, uncertainty: 2.8979, uncertainty_coeffi: 0.0010, loss: 0.1409, lr: 9.55e-06
     Epoch[0] Iteration[350/1240], entropy: 0.6277, uncertainty: 2.9301, uncertainty_coeffi: 0.0010, loss: 0.2581, lr: 9.55e-06
     Epoch[0] Iteration[360/1240], entropy: 0.5386, uncertainty: 2.2344, uncertainty_coeffi: 0.0010, loss: 0.2496, lr: 9.55e-06
     Epoch[0] Iteration[370/1240], entropy: 0.6434, uncertainty: 2.3276, uncertainty_coeffi: 0.0010, loss: 0.3599, lr: 9.55e-06
     Epoch[0] Iteration[380/1240], entropy: 0.6872, uncertainty: 3.0165, uncertainty_coeffi: 0.0010, loss: 0.2677, lr: 9.55e-06
     Epoch[0] Iteration[390/1240], entropy: 0.5000, uncertainty: 2.9954, uncertainty_coeffi: 0.0010, loss: 0.2267, lr: 9.55e-06
     Epoch[0] Iteration[400/1240], entropy: 0.5068, uncertainty: 2.0184, uncertainty_coeffi: 0.0010, loss: 0.2940, lr: 9.55e-06
     Epoch[0] Iteration[410/1240], entropy: 0.4686, uncertainty: 2.2863, uncertainty_coeffi: 0.0010, loss: 0.2390, lr: 9.55e-06
     Epoch[0] Iteration[420/1240], entropy: 0.5578, uncertainty: 2.6256, uncertainty_coeffi: 0.0010, loss: 0.2216, lr: 9.55e-06
     Epoch[0] Iteration[430/1240], entropy: 0.7142, uncertainty: 2.8571, uncertainty_coeffi: 0.0010, loss: 0.3423, lr: 9.55e-06
     Epoch[0] Iteration[440/1240], entropy: 0.4644, uncertainty: 2.9209, uncertainty_coeffi: 0.0010, loss: 0.1664, lr: 9.55e-06
     Epoch[0] Iteration[450/1240], entropy: 0.7920, uncertainty: 2.3143, uncertainty_coeffi: 0.0010, loss: 0.5039, lr: 9.55e-06
     Epoch[0] Iteration[460/1240], entropy: 0.6226, uncertainty: 3.3651, uncertainty_coeffi: 0.0010, loss: 0.2571, lr: 9.55e-06
     Epoch[0] Iteration[470/1240], entropy: 0.7554, uncertainty: 2.5918, uncertainty_coeffi: 0.0010, loss: 0.3321, lr: 9.55e-06
     Epoch[0] Iteration[480/1240], entropy: 0.5709, uncertainty: 3.1767, uncertainty_coeffi: 0.0010, loss: 0.2048, lr: 9.55e-06
