/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Not using distributed mode
### Hyper-parameters:
     output_dir: output_rerun2/ham_icfg_tta/exp3/exp3.0.2/2025091503375
     seed: 42
     device: cuda
     batch_size_tta: 16
     epochs: 10
     lr: 0.0001
### Creating test dataset
     test_txt_set: 19848    test_img_set: 19848
     test_txt_loader: 39    test_img_loader: 39
### Creating model
Training Model with ['sdm', 'id', 'mlm'] tasks
Resized position embedding from size:torch.Size([1, 197, 768]) to size: torch.Size([1, 193, 768]) with height:24 width: 8
     Total Params Sum:  190482206
### Zero-Shot Score: 
/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/home/user/yc57963/task/IRRA/tta.py:281: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()  # bf16
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 60.641 | 77.499 | 83.248 | 35.543 | 6.005 |
+-------+--------+--------+--------+--------+-------+
### TTA:
### Compute Cos Similarity Uncertainty
     preprocess_tta_coefficients  start
     sample selection ...
     number of sample after sample_selection: 15909
     uncertainty ...
     pos/neg sampling ...
      number of sample after pos/neg sampling: torch.Size([19848, 8])
     preprocess_tta_coefficients  end
### Creating TTA dataset
     tta_dataset: 15909
### Creating tta dataloader
### be careful: func create_loader returns a list length of 1
     tta_loader: 994
### Configure adapted weights
     TTA Dropout Modules: 
 []
     TTA Require Gradient Params: 
 [('base_model.transformer.resblocks.1.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.bias', torch.Size([512])), ('base_model.ln_final.weight', torch.Size([512])), ('base_model.ln_final.bias', torch.Size([512]))]
     TTA Dropout Modules Number: 
 0
     TTA Require Gradient Params Sum: 
 21504
Using 5.0 times learning rate for random init module 
### Start Test Time Adaptation : num_epoch = 10
/home/user/yc57963/task/IRRA/tta.py:67: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=True):
     Epoch[0] Iteration[10/994], entropy: 0.5707, uncertainty: 1.0451, uncertainty_coeffi: 0.0100, loss: 1.5670, lr: 8.20e-05
     Epoch[0] Iteration[20/994], entropy: 0.5567, uncertainty: 0.9885, uncertainty_coeffi: 0.0100, loss: 0.6768, lr: 3.45e-05
     Epoch[0] Iteration[30/994], entropy: 0.4133, uncertainty: 0.7282, uncertainty_coeffi: 0.0100, loss: 2.5330, lr: 3.45e-05
     Epoch[0] Iteration[40/994], entropy: 0.3909, uncertainty: 0.7391, uncertainty_coeffi: 0.0100, loss: 0.8603, lr: 3.45e-05
     Epoch[0] Iteration[50/994], entropy: 0.6436, uncertainty: 1.0406, uncertainty_coeffi: 0.0100, loss: 0.9888, lr: 9.55e-06
     Epoch[0] Iteration[60/994], entropy: 0.5111, uncertainty: 0.7043, uncertainty_coeffi: 0.0100, loss: 1.3667, lr: 9.55e-06
     Epoch[0] Iteration[70/994], entropy: 0.7484, uncertainty: 0.8710, uncertainty_coeffi: 0.0100, loss: 0.9987, lr: 9.55e-06
     Epoch[0] Iteration[80/994], entropy: 0.5859, uncertainty: 0.8962, uncertainty_coeffi: 0.0100, loss: 10.7484, lr: 9.55e-06
     Epoch[0] Iteration[90/994], entropy: 0.5761, uncertainty: 1.1157, uncertainty_coeffi: 0.0100, loss: 1.1885, lr: 9.55e-06
     Epoch[0] Iteration[100/994], entropy: 0.3595, uncertainty: 0.6124, uncertainty_coeffi: 0.0100, loss: 1.2505, lr: 9.55e-06
     Epoch[0] Iteration[110/994], entropy: 0.4577, uncertainty: 1.4393, uncertainty_coeffi: 0.0100, loss: 1.0998, lr: 0.00e+00
     Epoch[0] Iteration[120/994], entropy: 0.4397, uncertainty: 1.0924, uncertainty_coeffi: 0.0100, loss: 0.5792, lr: 0.00e+00
     Epoch[0] Iteration[130/994], entropy: 0.4103, uncertainty: 0.9050, uncertainty_coeffi: 0.0100, loss: 0.6354, lr: 0.00e+00
     Epoch[0] Iteration[140/994], entropy: 0.4827, uncertainty: 0.9098, uncertainty_coeffi: 0.0100, loss: 3.3175, lr: 0.00e+00
     Epoch[0] Iteration[150/994], entropy: 0.4868, uncertainty: 0.8323, uncertainty_coeffi: 0.0100, loss: 0.7669, lr: 0.00e+00
     Epoch[0] Iteration[160/994], entropy: 0.4841, uncertainty: 0.8712, uncertainty_coeffi: 0.0100, loss: 1.2929, lr: 0.00e+00
     Epoch[0] Iteration[170/994], entropy: 0.4066, uncertainty: 1.1627, uncertainty_coeffi: 0.0100, loss: 0.5118, lr: 0.00e+00
     Epoch[0] Iteration[180/994], entropy: 0.3685, uncertainty: 1.0595, uncertainty_coeffi: 0.0100, loss: 0.3903, lr: 0.00e+00
     Epoch[0] Iteration[190/994], entropy: 0.4788, uncertainty: 1.2221, uncertainty_coeffi: 0.0100, loss: 0.7244, lr: 0.00e+00
     Epoch[0] Iteration[200/994], entropy: 0.5067, uncertainty: 0.6470, uncertainty_coeffi: 0.0100, loss: 1.8468, lr: 0.00e+00
     Epoch[0] Iteration[210/994], entropy: 0.7223, uncertainty: 1.1322, uncertainty_coeffi: 0.0100, loss: 3.2600, lr: 0.00e+00
     Epoch[0] Iteration[220/994], entropy: 0.6098, uncertainty: 0.9411, uncertainty_coeffi: 0.0100, loss: 1.0640, lr: 0.00e+00
     Epoch[0] Iteration[230/994], entropy: 0.7341, uncertainty: 0.6115, uncertainty_coeffi: 0.0100, loss: 8.6439, lr: 0.00e+00
     Epoch[0] Iteration[240/994], entropy: 0.7723, uncertainty: 0.9094, uncertainty_coeffi: 0.0100, loss: 2.8285, lr: 0.00e+00
     Epoch[0] Iteration[250/994], entropy: 0.4737, uncertainty: 0.9367, uncertainty_coeffi: 0.0100, loss: 1.9216, lr: 0.00e+00
     Epoch[0] Iteration[260/994], entropy: 0.7098, uncertainty: 0.8164, uncertainty_coeffi: 0.0100, loss: 4.6272, lr: 0.00e+00
     Epoch[0] Iteration[270/994], entropy: 0.5490, uncertainty: 0.8517, uncertainty_coeffi: 0.0100, loss: 2.4241, lr: 9.55e-06
     Epoch[0] Iteration[280/994], entropy: 0.5115, uncertainty: 1.1026, uncertainty_coeffi: 0.0100, loss: 0.6723, lr: 9.55e-06
     Epoch[0] Iteration[290/994], entropy: 0.4987, uncertainty: 0.5925, uncertainty_coeffi: 0.0100, loss: 1.2759, lr: 9.55e-06
     Epoch[0] Iteration[300/994], entropy: 0.4711, uncertainty: 0.8760, uncertainty_coeffi: 0.0100, loss: 1.1535, lr: 9.55e-06
     Epoch[0] Iteration[310/994], entropy: 0.5215, uncertainty: 1.1221, uncertainty_coeffi: 0.0100, loss: 0.7298, lr: 9.55e-06
     Epoch[0] Iteration[320/994], entropy: 0.5418, uncertainty: 0.5742, uncertainty_coeffi: 0.0100, loss: 1.8583, lr: 9.55e-06
     Epoch[0] Iteration[330/994], entropy: 0.5104, uncertainty: 0.8755, uncertainty_coeffi: 0.0100, loss: 1.3090, lr: 9.55e-06
     Epoch[0] Iteration[340/994], entropy: 0.6132, uncertainty: 0.8192, uncertainty_coeffi: 0.0100, loss: 2.2850, lr: 9.55e-06
     Epoch[0] Iteration[350/994], entropy: 0.3456, uncertainty: 0.8715, uncertainty_coeffi: 0.0100, loss: 0.8248, lr: 9.55e-06
     Epoch[0] Iteration[360/994], entropy: 0.4721, uncertainty: 0.8779, uncertainty_coeffi: 0.0100, loss: 1.8378, lr: 9.55e-06
     Epoch[0] Iteration[370/994], entropy: 0.6845, uncertainty: 0.9542, uncertainty_coeffi: 0.0100, loss: 4.8148, lr: 9.55e-06
